game_id,home_odds,away_odds,ot_odds,home_result,away_result,ot_result
2022-11-04COLCBJ,0.60976,0.23641,0.20921,1,0,0
2022-11-05CBJCOL,0.2381,0.60976,0.20576,0,1,0
2022-11-05CGYNJD,0.5102,0.3268,0.22371,0,0,1
2022-11-05DETNYI,0.37453,0.45249,0.23529,1,0,0
2022-11-05EDMDAL,0.49261,0.33898,0.22272,0,1,0
2022-11-05LAKFLA,0.37453,0.45045,0.22779,1,0,0
2022-11-05MTLVGK,0.27701,0.55866,0.22222,0,1,0
2022-11-05OTTPHI,0.52356,0.30581,0.22624,0,1,0
2022-11-05PITSEA,0.54645,0.2907,0.21882,0,1,0
2022-11-05SJSANA,0.4902,0.34483,0.22676,0,0,1
2022-11-05TBLBUF,0.59172,0.25641,0.20747,1,0,0
2022-11-05TORBOS,0.46083,0.37313,0.22676,1,0,0
2022-11-05VANNSH,0.42194,0.40323,0.23148,0,0,1
2022-11-05WPGCHI,0.5848,0.25575,0.21739,1,0,0
2022-11-05WSHARI,0.65359,0.20661,0.20121,0,1,0
2022-11-06ANAFLA,0.29674,0.53763,0.21978,0,1,0
2022-11-06CARTOR,0.50761,0.32573,0.22173,0,1,0
2022-11-06NYRDET,0.5814,0.25974,0.21505,0,0,1
2022-11-07BOSSTL,0.55866,0.27624,0.22026,1,0,0
2022-11-07NYICGY,0.38168,0.4329,0.24038,0,0,1
2022-11-07WSHEDM,0.3268,0.50251,0.22371,1,0,0
2022-11-08BUFARI,0.59172,0.25445,0.20921,0,1,0
2022-11-08DETMTL,0.51546,0.3125,0.22883,0,0,1
2022-11-08LAKMIN,0.42553,0.4,0.23041,1,0,0
2022-11-08NJDCGY,0.4717,0.35587,0.22831,1,0,0
2022-11-08NYRNYI,0.51813,0.30211,0.23256,0,1,0
2022-11-08OTTVAN,0.44444,0.3876,0.22523,0,1,0
2022-11-08PHISTL,0.36232,0.45872,0.23474,1,0,0
2022-11-08SEANSH,0.43103,0.39062,0.23419,1,0,0
2022-11-08TBLEDM,0.51546,0.31949,0.22026,0,1,0
2022-11-08TORVGK,0.42918,0.39062,0.22989,0,0,1
2022-11-08WPGDAL,0.38911,0.42918,0.23697,1,0,0
2022-11-09ANAMIN,0.3268,0.50251,0.22573,0,1,0
2022-11-09FLACAR,0.39841,0.42918,0.22831,1,0,0
2022-11-09MTLVAN,0.32362,0.5102,0.22371,1,0,0
2022-11-09WSHPIT,0.37594,0.44248,0.23202,0,1,0
2022-11-10BOSCGY,0.54054,0.28736,0.22523,1,0,0
2022-11-10BUFVGK,0.32154,0.50761,0.22727,0,1,0
2022-11-10CAREDM,0.46948,0.35461,0.22573,1,0,0
2022-11-10CBJPHI,0.4065,0.41494,0.23474,1,0,0
2022-11-10COLNSH,0.54945,0.28902,0.22124,1,0,0
2022-11-10DETNYR,0.32258,0.5,0.23364,0,1,0
2022-11-10LAKCHI,0.63291,0.22026,0.20576,0,0,1
2022-11-10NJDOTT,0.54054,0.29851,0.2193,0,0,1
2022-11-10NYIARI,0.64103,0.20877,0.20661,0,1,0
2022-11-10STLSJS,0.5102,0.31447,0.22989,1,0,0
2022-11-11DALSJS,0.59524,0.24272,0.21739,0,1,0
2022-11-11SEAMIN,0.3876,0.4329,0.2381,0,1,0
2022-11-11TORPIT,0.4902,0.33898,0.22727,0,1,0
2022-11-11WSHTBL,0.35088,0.46729,0.23364,1,0,0
2022-11-12ANACHI,0.46729,0.35714,0.23041,0,1,0
2022-11-12BUFBOS,0.31153,0.52356,0.22124,0,1,0
2022-11-12CGYWPG,0.50505,0.31847,0.23095,1,0,0
2022-11-12COLCAR,0.43478,0.38462,0.23202,1,0,0
2022-11-12FLAEDM,0.52083,0.31847,0.21882,0,1,0
2022-11-12LAKDET,0.56818,0.27322,0.22222,1,0,0
2022-11-12MTLPIT,0.32154,0.5102,0.22573,0,0,1
2022-11-12NJDARI,0.64516,0.21008,0.1992,1,0,0
2022-11-12NSHNYR,0.40816,0.41841,0.2331,1,0,0
2022-11-12NYICBJ,0.5988,0.24331,0.21692,0,0,1
2022-11-12PHIOTT,0.3937,0.43103,0.23041,0,1,0
2022-11-12TORVAN,0.52632,0.31348,0.21739,1,0,0
2022-11-12VGKSTL,0.55556,0.27548,0.22124,0,1,0
2022-11-13BOSVAN,0.5814,0.26178,0.21368,1,0,0
2022-11-13MINSJS,0.56497,0.27027,0.2193,0,0,1
2022-11-13NYRARI,0.68493,0.17921,0.19011,1,0,0
2022-11-13PHIDAL,0.29499,0.53191,0.22573,0,1,0
2022-11-13SEAWPG,0.5,0.32573,0.22936,0,0,1
2022-11-13TBLWSH,0.52632,0.29851,0.22883,1,0,0
2022-11-14CGYLAK,0.5102,0.31546,0.22883,1,0,0
2022-11-14CHICAR,0.25126,0.5848,0.21882,0,1,0
2022-11-14COLSTL,0.55556,0.28653,0.21978,0,1,0
2022-11-14OTTNYI,0.39526,0.42735,0.23529,0,1,0
2022-11-15ANADET,0.3861,0.43478,0.23585,0,0,1
2022-11-15BUFVAN,0.41841,0.40816,0.22883,0,1,0
2022-11-15CBJPHI,0.39216,0.42918,0.23529,0,0,1
2022-11-15FLAWSH,0.55249,0.27933,0.22124,1,0,0
2022-11-15MTLNJD,0.30303,0.53191,0.22371,0,1,0
2022-11-15NSHMIN,0.41667,0.40486,0.24155,1,0,0
2022-11-15PITTOR,0.40816,0.41494,0.22727,0,1,0
2022-11-15TBLDAL,0.46948,0.35587,0.23202,0,0,1
2022-11-15VGKSJS,0.60976,0.23474,0.21142,0,1,0
2022-11-16CHISTL,0.30303,0.5291,0.22676,0,1,0
2022-11-16EDMLAK,0.47847,0.35211,0.22222,0,1,0
2022-11-16OTTBUF,0.49505,0.3367,0.22422,1,0,0
2022-11-17BOSPHI,0.67568,0.18797,0.19531,1,0,0
2022-11-17CARCOL,0.46083,0.35842,0.23202,0,0,1
2022-11-17CBJMTL,0.41494,0.40816,0.23419,1,0,0
2022-11-17FLADAL,0.51546,0.32362,0.22371,0,1,0
2022-11-17MINPIT,0.42017,0.40323,0.23202,0,1,0
2022-11-17NSHNYI,0.42194,0.39216,0.24096,1,0,0
2022-11-17SEANYR,0.35714,0.46512,0.23585,0,0,1
2022-11-17SJSDET,0.44444,0.37313,0.24038,0,1,0
2022-11-17STLWSH,0.41667,0.4065,0.23364,0,0,1
2022-11-17TBLCGY,0.43103,0.3876,0.23256,1,0,0
2022-11-17TORNJD,0.48077,0.34843,0.22727,0,0,1
2022-11-17VGKARI,0.70423,0.17036,0.18657,1,0,0
2022-11-17WPGANA,0.58824,0.24938,0.21645,1,0,0
2022-11-18VANLAK,0.4329,0.38911,0.23585,1,0,0
2022-11-19BOSCHI,0.71429,0.15504,0.18315,1,0,0
2022-11-19CBJDET,0.34965,0.47847,0.22883,0,1,0
2022-11-19DALNYI,0.49261,0.33333,0.23529,1,0,0
2022-11-19EDMVGK,0.40984,0.41152,0.22936,0,0,1
2022-11-19FLACGY,0.46729,0.35587,0.23256,0,0,1
2022-11-19MINCAR,0.369,0.44843,0.23753,0,0,1
2022-11-19MTLPHI,0.45455,0.3663,0.23585,0,0,1
2022-11-19NSHTBL,0.36496,0.45455,0.23753,0,0,1
2022-11-19OTTNJD,0.36232,0.46512,0.22727,0,1,0
2022-11-19SEALAK,0.45455,0.36232,0.23753,0,0,1
2022-11-19SJSNYR,0.30581,0.52083,0.23148,0,1,0
2022-11-19STLANA,0.54645,0.2849,0.22422,1,0,0
2022-11-19TORBUF,0.63291,0.21882,0.20367,1,0,0
2022-11-19WPGPIT,0.39062,0.43478,0.23364,0,1,0
2022-11-19WSHCOL,0.37594,0.4386,0.23866,0,1,0
2022-11-20CBJFLA,0.23697,0.61728,0.20367,1,0,0
2022-11-20CHIPIT,0.2611,0.57803,0.21645,0,1,0
2022-11-21DALCOL,0.42373,0.3937,0.2381,0,0,1
2022-11-21NJDEDM,0.49751,0.3367,0.22173,1,0,0
2022-11-21NSHARI,0.60976,0.23474,0.21368,0,0,1
2022-11-21PHICGY,0.26178,0.57143,0.22222,0,1,0
2022-11-21SJSOTT,0.40161,0.42017,0.23419,1,0,0
2022-11-21STLANA,0.56818,0.27027,0.21692,1,0,0
2022-11-21TBLBOS,0.39683,0.41667,0.23866,0,1,0
2022-11-21TORNYI,0.52632,0.30675,0.22371,0,0,1
2022-11-21VANVGK,0.35714,0.4717,0.22831,0,1,0
2022-11-21WPGCAR,0.31447,0.50761,0.23419,0,0,1
2022-11-22LAKNYR,0.36765,0.44843,0.23753,0,1,0
2022-11-22MTLBUF,0.40816,0.41322,0.23364,0,1,0
2022-11-23ANANYR,0.32468,0.5102,0.23041,1,0,0
2022-11-23BUFSTL,0.34483,0.48077,0.23041,1,0,0
2022-11-23CARARI,0.68027,0.17986,0.19802,0,1,0
2022-11-23CBJMTL,0.4386,0.38911,0.22831,0,1,0
2022-11-23COLVAN,0.55249,0.28653,0.21786,0,1,0
2022-11-23DALCHI,0.65359,0.2004,0.20661,1,0,0
2022-11-23DETNSH,0.4386,0.39062,0.2331,1,0,0
2022-11-23FLABOS,0.41494,0.40486,0.23256,1,0,0
2022-11-23MINWPG,0.49261,0.33003,0.23641,1,0,0
2022-11-23NJDTOR,0.46512,0.35971,0.23041,0,1,0
2022-11-23NYIEDM,0.44248,0.37736,0.23641,1,0,0
2022-11-23PITCGY,0.45455,0.37313,0.22883,0,0,1
2022-11-23SEASJS,0.52356,0.30211,0.2331,1,0,0
2022-11-23VGKOTT,0.59172,0.25445,0.21142,1,0,0
2022-11-23WSHPHI,0.5988,0.24038,0.21786,0,0,1
2022-11-25ANAOTT,0.34483,0.48077,0.23095,0,1,0
2022-11-25BOSCAR,0.49505,0.32468,0.23474,0,0,1
2022-11-25BUFNJD,0.32468,0.5102,0.22321,0,1,0
2022-11-25CBJNYI,0.28329,0.55249,0.22222,0,1,0
2022-11-25CHIMTL,0.43103,0.39062,0.23474,0,0,1
2022-11-25DALWPG,0.52083,0.30675,0.23041,0,0,1
2022-11-25DETARI,0.57143,0.26525,0.22075,0,0,1
2022-11-25MINTOR,0.42373,0.40323,0.23529,0,1,0
2022-11-25PHIPIT,0.26042,0.57803,0.21834,0,1,0
2022-11-25SJSLAK,0.35211,0.46729,0.23641,0,1,0
2022-11-25TBLSTL,0.54348,0.28571,0.22676,1,0,0
2022-11-25VGKSEA,0.53191,0.3012,0.22573,0,1,0
2022-11-25WSHCGY,0.38314,0.43668,0.23641,1,0,0
2022-11-26CARCGY,0.47847,0.34722,0.23474,1,0,0
2022-11-26COLDAL,0.50761,0.31949,0.23041,1,0,0
2022-11-26FLASTL,0.55249,0.28169,0.21978,0,0,1
2022-11-26NJDWSH,0.54054,0.29499,0.22624,1,0,0
2022-11-26NYIPHI,0.5988,0.24272,0.21645,1,0,0
2022-11-26NYREDM,0.50251,0.32258,0.22936,0,1,0
2022-11-26PITTOR,0.45872,0.37313,0.22624,0,1,0
2022-11-26VGKVAN,0.54348,0.2907,0.22124,0,1,0
2022-11-27ANASEA,0.30303,0.52632,0.22779,0,1,0
2022-11-27CHIWPG,0.31348,0.51813,0.23095,0,1,0
2022-11-27LAKOTT,0.50505,0.32258,0.23148,0,0,1
2022-11-27MINARI,0.64516,0.20747,0.20284,1,0,0
2022-11-27SJSVAN,0.39841,0.42194,0.23148,0,0,1
2022-11-28BUFTBL,0.34014,0.5,0.22422,0,0,1
2022-11-28CBJVGK,0.2381,0.60976,0.20833,0,0,1
2022-11-28DETTOR,0.33223,0.49505,0.22989,0,1,0
2022-11-28EDMFLA,0.40984,0.41667,0.23202,0,0,1
2022-11-28NYRNJD,0.42918,0.3861,0.23753,0,1,0
2022-11-28STLDAL,0.37879,0.44248,0.23753,0,1,0
2022-11-29BOSTBL,0.51546,0.30864,0.22989,1,0,0
2022-11-29CGYFLA,0.4902,0.34247,0.22573,1,0,0
2022-11-29LAKSEA,0.45045,0.369,0.23697,0,0,1
2022-11-29MTLSJS,0.41494,0.40984,0.2331,0,1,0
2022-11-29NSHANA,0.59172,0.25,0.21505,0,0,1
2022-11-29PHINYI,0.27473,0.55249,0.23095,1,0,0
2022-11-29PITCAR,0.41322,0.4,0.24096,0,0,1
2022-11-29VANWSH,0.42194,0.4,0.23419,0,1,0
2022-11-29WPGCOL,0.35088,0.46948,0.23697,1,0,0
2022-11-30CHIEDM,0.27473,0.55866,0.22173,0,1,0
2022-11-30DETBUF,0.46296,0.36364,0.22624,0,0,1
2022-11-30OTTNYR,0.42194,0.40161,0.23202,0,1,0
2022-11-30TORSJS,0.64935,0.20492,0.20284,1,0,0
2022-12-01BUFCOL,0.29499,0.54054,0.22173,0,1,0
2022-12-01CGYMTL,0.63694,0.21598,0.20576,0,1,0
2022-12-01DALANA,0.65359,0.1996,0.20161,1,0,0
2022-12-01LAKARI,0.5988,0.24272,0.21598,1,0,0
2022-12-01MINEDM,0.5,0.33003,0.22422,1,0,0
2022-12-01NJDNSH,0.5618,0.27548,0.22272,0,0,1
2022-12-01PHITBL,0.26385,0.57143,0.22272,0,1,0
2022-12-01PITVGK,0.41841,0.40323,0.23202,1,0,0
2022-12-01SEAWSH,0.42918,0.38911,0.23753,0,0,1
2022-12-01STLCAR,0.34965,0.46512,0.24213,0,1,0
2022-12-01VANFLA,0.37879,0.45249,0.22727,0,1,0
2022-12-02NYINSH,0.50251,0.31949,0.23419,0,1,0
2022-12-02NYROTT,0.54945,0.2849,0.22173,0,0,1
2022-12-02WPGCBJ,0.56818,0.27397,0.21552,0,1,0
2022-12-03BOSCOL,0.51282,0.31153,0.22883,1,0,0
2022-12-03CGYWSH,0.49751,0.3268,0.23095,1,0,0
2022-12-03DETVGK,0.36101,0.47619,0.22371,0,1,0
2022-12-03EDMMTL,0.5988,0.24876,0.21097,1,0,0
2022-12-03LAKCAR,0.36364,0.45662,0.23697,0,1,0
2022-12-03MINANA,0.63694,0.21552,0.2045,0,0,1
2022-12-03NYRCHI,0.60606,0.23641,0.21459,0,1,0
2022-12-03OTTSJS,0.47393,0.35088,0.23148,1,0,0
2022-12-03PHINJD,0.25253,0.5848,0.21786,0,1,0
2022-12-03PITSTL,0.53191,0.2994,0.22321,1,0,0
2022-12-03SEAFLA,0.40161,0.42553,0.23256,0,1,0
2022-12-03TBLTOR,0.45455,0.369,0.23364,0,0,1
2022-12-03VANARI,0.57471,0.26316,0.21882,0,0,1
2022-12-04BUFSJS,0.49505,0.33557,0.22573,1,0,0
2022-12-04CBJDET,0.39062,0.43668,0.23095,0,1,0
2022-12-04DALMIN,0.49751,0.32468,0.23095,0,0,1
2022-12-04NYICHI,0.63291,0.21322,0.21142,1,0,0
2022-12-04WPGANA,0.62893,0.22173,0.20704,1,0,0
2022-12-05BOSVGK,0.53763,0.29155,0.22831,0,0,1
2022-12-05CGYARI,0.66225,0.19569,0.20325,1,0,0
2022-12-05EDMWSH,0.49261,0.33784,0.22472,0,1,0
