target_game_id,team,season,profit,win,reg_win,overtime,score,opp_score,goals,opp_goals,xGoalsPercentage,xGoals,opp_xGoals
2014-10-25PHIDET,DET,2014,-1,0,0,0,2,4,2,2,0.7241,2.546,0.97
2014-10-25SJSBUF,BUF,2014,4.85994726,1,1,0,2,1,2,1,0.4862,1.802,1.904
2014-10-26LAKCBJ,LAK,2014,0.839994112,1,1,0,5,2,4,1,0.5984,1.831,1.229
2014-10-25ARIFLA,ARI,2014,-1,1,0,1,2,1,0,1,0.4899,1.304,1.358
2014-10-25MINTBL,MIN,2014,0.98000198,1,1,0,7,2,6,2,0.623,1.828,1.106
2014-10-25STLCHI,CHI,2014,-1,0,0,0,2,3,1,3,0.2609,1.001,2.835
2014-10-25NSHPIT,NSH,2014,-1,0,0,0,0,3,0,1,0.592,1.284,0.885
2014-10-25SJSBUF,SJS,2014,-1,0,0,0,1,2,1,2,0.5138,1.904,1.802
2014-10-24ANACBJ,CBJ,2014,-1,0,0,0,1,4,0,1,0.3848,0.863,1.38
2014-10-25STLCHI,STL,2014,1.330024698,1,1,0,3,2,3,1,0.7391,2.835,1.001
2014-10-24COLVAN,VAN,2014,-1,0,0,0,3,7,3,6,0.3556,1.574,2.852
2014-10-26ANASJS,ANA,2014,-1,0,0,0,1,4,0,1,0.4645,1.929,2.224
2014-10-26LAKCBJ,CBJ,2014,-1,0,0,0,2,5,1,4,0.4016,1.229,1.831
2014-10-26WPGCOL,COL,2014,-1,0,0,1,1,2,0,1,0.3943,1.082,1.662
2014-10-26VANWSH,VAN,2014,1.079996672,1,1,0,4,2,2,2,0.6034,2.337,1.536
2014-10-27EDMMTL,EDM,2014,1.870016933,1,1,0,3,0,2,0,0.3127,1.332,2.927
2014-10-28VANCAR,CAR,2014,-1,0,0,0,1,4,1,2,0.4812,1.769,1.907
2014-10-25OTTNJD,NJD,2014,-1,1,0,1,3,2,1,0,0.5147,1.763,1.662
2014-10-25NYIDAL,DAL,2014,-1,0,0,0,5,7,4,5,0.5146,2.356,2.222
2014-10-25MINTBL,TBL,2014,-1,0,0,0,2,7,2,6,0.377,1.106,1.828
2014-10-26WPGCOL,WPG,2014,-1,1,0,1,2,1,1,0,0.6057,1.662,1.082
2014-10-28TBLARI,ARI,2014,-1,0,0,0,3,7,3,6,0.4085,2.002,2.899
2014-10-30FLAARI,FLA,2014,1.390000239,1,1,0,2,1,1,0,0.6477,2.057,1.119
2014-10-28CGYMTL,CGY,2014,-1,0,0,1,1,2,0,1,0.5867,1.549,1.091
2014-10-26VANWSH,WSH,2014,-1,0,0,0,2,4,2,2,0.3966,1.536,2.337
2014-10-27NYRMIN,MIN,2014,-1,0,0,0,4,5,4,5,0.5434,2.403,2.019
2014-10-28TBLARI,TBL,2014,0.98000198,1,1,0,7,3,6,3,0.5915,2.899,2.002
2014-10-27EDMMTL,MTL,2014,-1,0,0,0,0,3,0,2,0.6873,2.927,1.332
2014-10-27NYRMIN,NYR,2014,1.409986986,1,1,0,5,4,5,4,0.4566,2.019,2.403
2014-10-29EDMNSH,NSH,2014,1.359993392,1,1,0,4,1,4,1,0.5558,2.077,1.66
2014-10-28PITNJD,PIT,2014,0.7999856,1,1,0,8,3,5,2,0.62,1.713,1.05
2014-10-28DALSTL,DAL,2014,-1,0,0,1,3,4,2,3,0.5054,1.689,1.653
2014-10-28NYIWPG,NYI,2014,-1,0,0,0,3,4,1,1,0.5228,1.227,1.12
2014-10-28PITNJD,NJD,2014,-1,0,0,0,3,8,2,5,0.38,1.05,1.713
2014-10-26CHIOTT,OTT,2014,-1,0,0,0,1,2,0,0,0.484,1.543,1.645
2014-10-28PHILAK,PHI,2014,-1,1,0,1,3,2,2,1,0.4301,3.159,4.185
2014-10-29WSHDET,DET,2014,1.870016933,1,1,0,4,2,3,1,0.424,1.253,1.702
2014-10-26ANASJS,SJS,2014,2.2599837,1,1,0,4,1,1,0,0.5355,2.224,1.929
2014-10-28TORBUF,BUF,2014,-1,0,0,0,0,4,0,3,0.1453,0.457,2.688
2014-10-26CHIOTT,CHI,2014,0.730014013,1,1,0,2,1,0,0,0.516,1.645,1.543
2014-10-28DALSTL,STL,2014,-1,1,0,1,4,3,3,2,0.4946,1.653,1.689
2014-10-28BOSMIN,BOS,2014,-1,0,0,0,3,4,2,4,0.3778,1.735,2.857
2014-10-28TORBUF,TOR,2014,0.6999864,1,1,0,4,0,3,0,0.8547,2.688,0.457
2014-10-28CHIANA,ANA,2014,2.110032966,1,1,0,1,0,0,0,0.3343,1.08,2.151
2014-10-28COLSJS,SJS,2014,-1,1,0,1,3,2,2,1,0.7486,4.381,1.471
2014-10-28CHIANA,CHI,2014,-1,0,0,0,0,1,0,0,0.6657,2.151,1.08
2014-10-28CBJOTT,OTT,2014,1.57997936,1,1,0,5,2,3,1,0.5245,1.779,1.613
2014-10-28PHILAK,LAK,2014,-1,0,0,1,2,3,1,2,0.5699,4.185,3.159
2014-10-28CBJOTT,CBJ,2014,-1,0,0,0,2,5,1,3,0.4755,1.613,1.779
2014-10-28VANCAR,VAN,2014,0.689988508,1,1,0,4,1,2,1,0.5188,1.907,1.769
2014-10-29WSHDET,WSH,2014,-1,0,0,0,2,4,1,3,0.576,1.702,1.253
2014-10-28COLSJS,COL,2014,-1,0,0,1,2,3,1,2,0.2514,1.471,4.381
